Title,Authors,Year,Venue,URL
Exploração de ferramentas Web 2.0 na formação inicial de professores,"MR Patrício, V Gonçalves",2009,EDUSER: revista de educação,https://bibliotecadigital.ipb.pt/handle/10198/1216
Evolucao Da Programação Web: TCC Dez/2008,"FM Lalli, FF Bueno, GK Zacharias",2008,NA,https://books.google.com/books?hl=en&lr=&id=zJ_a4omO6NkC&oi=fnd&pg=PA8&dq=Evolu%C3%A7%C3%A3o+da+Programa%C3%A7%C3%A3o+para+Web+&ots=uPjNLzOhL7&sig=Ie677LtqKnHjlFdmO3xyzZkf7HQ
Protocolo HTTP x protocolo HTTPS,"AL de Souza Silva, RCMF Silva",2009,Nucleus,https://dialnet.unirioja.es/servlet/articulo?codigo=4033677
"Desenvolvimento de Software II: Introdução ao Desenvolvimento Web com HTML, CSS, JavaScript e PHP-Eixo: Informação e Comunicação-Série Tekne","EM Miletto, S de Castro Bertagnolli",2014,NA,https://books.google.com/books?hl=en&lr=&id=lcLFAwAAQBAJ&oi=fnd&pg=PR1&dq=Linguagens+de+Programa%C3%A7%C3%A3o+para+Web+e+Desenvolvimento+Web+&ots=kRTDxx--Du&sig=Smxuz2JA2hYH6R23gC11ggIvkd0
Arquitetura de Sistemas Web baseado em evented i/o,B HORIZONTE,NA,NA,http://algol.dcc.ufla.br/~terra/publications_files/students/2011_fumec_mirandajunior.pdf
Construção de um servidor WEB com enfoque transacional,"W Cambiucci, WV Ruggiero",1997,III Congreso Argentino de Ciencias …,http://sedici.unlp.edu.ar/handle/10915/23887
"Guia de orientação e desenvolvimento de sites: HTML, XHTML, CSS E JAVASCRIPT/JSCRIPT","JANG Manzano, SA DE TOLEDO",2010,NA,"https://books.google.com/books?hl=en&lr=&id=1YuwDwAAQBAJ&oi=fnd&pg=PP35&dq=HTML+5,+CSS+e+JavaScript+&ots=gLmpo0aF8A&sig=ly11ccTSd7pIdLgWhkqnZ1uFqao"
A Wikipédia como recurso educacional aberto: um contributo para o Programa Wikipédia na Universidade,F Pestana,2018,NA,https://search.proquest.com/openview/014a5f4a9e36ebae0282c53f2d96f588/1?pq-origsite=gscholar&cbl=2026366&diss=y
"Processing XML with Java: a guide to SAX, DOM, JDOM, JAXP, and TrAX",ER Harold,2003,NA,https://books.google.com/books?hl=en&lr=&id=Ys98M8A45G4C&oi=fnd&pg=PR17&dq=XML+%26+JDOM+&ots=66AfD_Fqb3&sig=86A3Qp88XbUNcC315GyxybAoeSA
"Java for the Web with Servlets, JSP, and EJB",B Kurniawan,2002,NA,https://books.google.com/books?hl=en&lr=&id=ZFplJ5Sjo2oC&oi=fnd&pg=PA5&dq=JSP+e+Servlets+&ots=1wV2vVKEA7&sig=NyzFcsbtNWse7iBG1BuucZysARU
JSON 在 Ajax 数据交换中的应用研究,屈展， 李婵,2011,西安石油大学学报: 自然科学版,http://www.cqvip.com/qk/92589b/201101/36751069.html
Rest and web services: In theory and in practice,"P Adamczyk, PH Smith, RE Johnson",2011,REST: from research to …,https://link.springer.com/chapter/10.1007/978-1-4419-8303-9_2
"Desarrollo de Aplicaciones web con JPA, EJB, JSF y PrimeFaces","F Pech-May, MA Gomez-Rodriguez, A Luis",2012,… Superior de los Ríos …,https://www.academia.edu/download/45290069/Desarrollo_de_Aplicaciones_web_con_JPA__EJB__JSF_y_PrimeFaces.pdf
Python web development with Django,"J Forcier, P Bissex, WJ Chun",2008,NA,https://books.google.com/books?hl=en&lr=&id=M2D5nnYlmZoC&oi=fnd&pg=PT31&dq=Python+%26+Django+&ots=vZ-DLp6NLP&sig=CybxeSpHyfoy4zpGm009js27GWc
"Pico hydropower (PHP) development in Malaysia: Potential, present status, barriers and future perspectives","A Kadier, MS Kalil, M Pudukudy, HA Hasan",2018,… and Sustainable Energy …,https://www.sciencedirect.com/science/article/pii/S1364032117310249
Pro Asp. net 2.0 in C# 2005,"M MacDonald, M Szpuszta, R Lair, J Lefebvre",2005,NA,https://link.springer.com/content/pdf/10.1007/978-1-4302-0064-2.pdf
Introducing single page applications,"G Fink, I Flatow, G Fink, I Flatow",2014,Pro Single Page Application …,https://link.springer.com/chapter/10.1007/978-1-4302-6674-7_1
Ruby on rails tutorial: learn Web development with rails,M Hartl,2015,NA,https://books.google.com/books?hl=en&lr=&id=0tSmCAAAQBAJ&oi=fnd&pg=PT24&dq=Ruby/Rails+&ots=v-LHH93-Ld&sig=Bl7ZFLxF3eh3l_R4H52SaHrP0fw
